port,ont,date,rx
0/1/0,1,2021-10-29,-15.151111111111113
0/1/0,1,2021-10-30,-15.17777777777778
0/1/0,1,2021-10-31,-15.176296296296293
0/1/0,1,2021-11-01,-15.183333333333335
0/1/0,1,2021-11-02,-15.295862068965517
0/1/0,1,2021-11-03,-15.49633333333333
0/1/0,1,2021-11-04,-15.504666666666662
0/1/0,1,2021-11-05,-15.723703703703702
0/1/0,1,2021-11-06,-15.501470588235293
0/1/0,1,2021-11-07,-15.49941176470588
0/1/0,1,2021-11-08,-15.557631578947367
0/1/0,1,2021-11-09,-15.546052631578945
0/1/0,1,2021-11-10,-15.503076923076923
0/1/0,1,2021-11-11,-15.50153846153846
0/1/0,1,2021-11-12,-15.492051282051284
0/1/0,1,2021-11-13,-15.494615384615384
0/1/0,1,2021-11-15,-15.491282051282047
0/1/0,1,2021-11-18,-15.486410256410254
0/1/0,1,2021-11-19,-15.485641025641025
0/1/0,1,2021-11-21,-15.496153846153844
0/1/0,1,2021-11-24,-15.4701282051282
0/1/0,1,2021-11-26,-15.307435897435894
0/1/0,1,2021-11-30,-16.710512820512818
0/1/0,1,2021-12-01,-16.709743589743592
0/1/0,1,2021-12-02,-16.69717948717949
0/1/0,1,2021-12-03,-16.746363636363636
0/1/0,1,2021-12-04,-16.77613636363637
0/1/0,1,2021-12-05,-16.857272727272726
0/1/0,1,2021-12-06,-16.80454545454546
0/1/0,1,2021-12-07,-16.5993023255814
0/1/0,1,2021-12-08,-15.325777777777777
0/1/0,1,2021-12-09,-15.313777777777775
0/1/0,1,2021-12-10,-15.302444444444445
0/1/0,1,2021-12-11,-15.301111111111105
0/1/0,1,2021-12-12,-15.307333333333334
0/1/0,1,2021-12-13,-15.41547619047619
0/1/0,1,2021-12-14,-15.494418604651166
0/1/0,1,2021-12-15,-15.588367346938776
0/1/0,1,2021-12-16,-15.716199999999999
0/1/0,1,2021-12-17,-15.730199999999995
0/1/0,1,2021-12-18,-15.729799999999996
0/1/0,1,2021-12-19,-15.7198
0/1/0,1,2021-12-20,-15.724999999999996
0/1/0,1,2021-12-21,-15.782800000000003
0/1/0,1,2021-12-22,-15.770000000000003
0/1/0,1,2021-12-23,-15.891600000000006
0/1/0,1,2021-12-24,-15.907200000000003
0/1/0,1,2021-12-25,-15.894200000000001
0/1/0,1,2021-12-26,-15.889999999999997
0/1/0,1,2021-12-27,-15.884600000000002
0/1/0,1,2021-12-28,-15.8762
0/1/0,1,2021-12-29,-16.1068
0/1/0,1,2021-12-30,-16.1178
0/1/0,1,2021-12-31,-16.137959183673466
0/1/0,1,2022-01-01,-16.15204081632653
0/1/0,1,2022-01-02,-16.15020408163265
0/1/0,1,2022-01-03,-16.150612244897957
0/1/0,1,2022-01-04,-16.165714285714287
0/1/0,1,2022-01-05,-16.14469387755102
0/1/0,1,2022-01-06,-16.21857142857143
0/1/0,1,2022-01-07,-16.197346938775507
0/1/0,1,2022-01-08,-16.191632653061223
0/1/0,1,2022-01-09,-16.185510204081627
0/1/0,1,2022-01-10,-16.177755102040816
0/1/0,1,2022-01-11,-16.150799999999997
0/1/0,1,2022-01-12,-16.1268
0/1/0,1,2022-01-13,-16.129599999999996
0/1/0,1,2022-01-14,-16.08339622641509
0/1/0,1,2022-01-15,-15.789464285714285
0/1/0,1,2022-01-16,-15.793749999999998
0/1/0,1,2022-01-17,-15.783749999999996
0/1/0,1,2022-01-18,-15.783392857142852
0/1/0,1,2022-01-19,-15.775892857142855
0/1/0,1,2022-01-20,-15.780357142857143
0/1/0,1,2022-01-21,-15.770714285714288
0/1/0,1,2022-01-22,-15.79392857142857
0/1/0,1,2022-01-23,-15.787142857142856
0/1/0,1,2022-01-24,-15.779464285714285
0/1/0,1,2022-01-25,-15.766964285714284
0/1/0,1,2022-01-26,-15.752857142857142
0/1/0,1,2022-01-27,-15.754285714285714
0/1/0,1,2022-01-28,-15.759107142857143
0/1/0,1,2022-01-29,-15.74803571428571
0/1/0,1,2022-01-30,-15.777678571428572
0/1/0,1,2022-01-31,-15.747142857142858
0/1/0,1,2022-02-01,-15.733392857142855
0/1/0,1,2022-02-02,-15.740892857142855
0/1/0,1,2022-02-03,-15.74875
0/1/0,1,2022-02-04,-15.754999999999999
0/1/0,1,2022-02-05,-15.735892857142856
0/1/0,1,2022-02-06,-15.78428571428572
0/1/0,1,2022-02-07,-15.778571428571427
0/1/0,1,2022-02-08,-15.732678571428567
0/1/0,1,2022-02-09,-15.712857142857143
0/1/0,1,2022-02-10,-15.714464285714286
0/1/0,1,2022-02-11,-15.764464285714292
0/1/0,1,2022-02-12,-15.745714285714286
0/1/0,1,2022-02-13,-15.757321428571426
0/1/0,1,2022-02-14,-15.728928571428568
0/1/0,1,2022-02-15,-15.744464285714285
0/1/0,1,2022-02-16,-15.741964285714287
0/1/0,1,2022-02-17,-15.73607142857143
0/1/0,1,2022-02-18,-15.726249999999995
0/1/0,1,2022-02-19,-15.734642857142857
0/1/0,1,2022-02-20,-15.723571428571427
0/1/0,1,2022-02-21,-15.731071428571434
0/1/0,1,2022-02-22,-15.71785714285714
0/1/0,1,2022-02-23,-15.733392857142857
0/1/0,1,2022-02-24,-15.743214285714286
0/1/0,1,2022-02-25,-15.75125
0/1/0,1,2022-02-26,-15.720000000000004
0/1/0,1,2022-02-27,-15.725892857142862
0/1/0,1,2022-02-28,-15.73196428571429
0/1/0,1,2022-03-01,-15.725
0/1/0,1,2022-03-02,-15.718214285714293
0/1/0,1,2022-03-03,-15.714642857142854
0/1/0,1,2022-03-04,-15.725535714285714
0/1/0,1,2022-03-05,-15.730357142857143
0/1/0,1,2022-03-06,-15.733750000000002
0/1/0,1,2022-03-07,-15.715714285714283
0/1/0,1,2022-03-08,-15.705892857142857
0/1/0,1,2022-03-09,-15.711964285714279
0/1/0,1,2022-03-10,-15.731428571428568
0/1/0,1,2022-03-18,-15.704464285714282
0/1/0,1,2022-03-19,-15.710535714285712
0/1/0,1,2022-03-20,-15.7075
0/1/0,1,2022-03-21,-15.71553571428571
0/1/0,1,2022-03-22,-15.704107142857145
0/1/0,1,2022-03-23,-15.706428571428571
0/1/0,1,2022-03-24,-15.69875
0/1/0,1,2022-03-25,-15.797450980392156
0/1/0,1,2022-03-26,-15.698571428571428
0/1/0,1,2022-03-27,-15.706071428571429
0/1/0,1,2022-03-28,-15.721964285714288
0/1/0,1,2022-03-29,-15.705892857142858
0/1/0,1,2022-03-30,-15.691071428571428
0/1/0,1,2022-03-31,-15.715535714285718
0/1/0,1,2022-04-01,-15.696607142857143
0/1/0,1,2022-04-02,-15.703928571428571
0/1/0,1,2022-04-03,-15.712321428571427
0/1/0,1,2022-04-04,-15.710000000000003
0/1/0,1,2022-04-05,-15.701607142857144
0/1/0,1,2022-04-06,-15.71232142857143
0/1/0,1,2022-04-07,-15.72464285714286
0/1/0,1,2022-04-08,-15.723571428571429
0/1/0,1,2022-04-09,-15.719999999999999
0/1/0,1,2022-04-10,-15.719464285714285
0/1/0,1,2022-04-11,-15.725178571428575
0/1/0,1,2022-04-12,-15.694642857142856
0/1/0,1,2022-04-13,-15.727678571428568
0/1/0,1,2022-04-14,-15.713750000000003
0/1/0,1,2022-04-15,-15.82357142857143
0/1/0,1,2022-04-16,-15.827857142857143
0/1/0,1,2022-04-17,-15.834285714285715
0/1/0,1,2022-04-18,-15.822678571428577
0/1/0,1,2022-04-19,-15.835535714285715
0/1/0,1,2022-04-20,-16.727454545454542
0/1/0,1,2022-04-21,-16.71054545454546
0/1/0,1,2022-04-22,-16.56872727272727
0/1/0,1,2022-04-23,-16.573818181818176
0/1/0,1,2022-04-24,-16.567272727272723
